ID_line;voltage;Longitude;Latitude;node_start;node_end
921;150;119.589;-4.801;1359;1365
922;150;119.636;-4.022;1364;1368
923;150;119.649;-3.475;1368;1370
924;150;104.006;1.013;1371;1372
925;150;118.96;-3.495;1373;1374
926;150;119.32;-3.402;1374;1376
927;150;119.595;-4.931;1347;1361
928;150;119.753;-3.917;1361;1379
929;150;119.474;-5.462;1353;1381
930;150;119.784;-5.666;1381;1384
931;150;119.753;-3.917;1361;1386
932;150;119.753;-3.917;1361;1387
933;150;119.924;-4.351;1379;1387
934;150;119.924;-4.351;1379;1391
935;150;119.895;-3.072;1386;1393
936;150;103.931;1.055;893;1395
938;150;122.013;0.478;1397;1398
940;150;122.886;0.657;1398;1400
943;150;124.604;1.219;1102;1402
944;150;122.886;0.657;1398;1404
945;150;123.256;0.904;1404;1406
946;150;123.996;0.858;1406;1408
950;150;103.979;1.074;893;1371
951;150;124.293;0.781;1402;1408
952;150;124.48;1.181;1402;1413
953;150;124.604;1.219;17;1402
954;150;124.795;1.179;17;1418
955;150;124.822;1.254;1418;1419
961;150;103.903;1.09;1395;1422
962;150;124.926;1.494;1101;1424
965;150;120.651;-1.64;1425;1426
966;150;107.566;-2.892;1427;1428
967;150;104.084;1.099;1429;1430
968;150;104.04;1.032;1431;1432
969;150;104.037;1.031;1433;1434
970;275;104.932;-5.368;1435;1436
971;150;119.937;-0.999;1426;1438
972;150;106.091;-2.102;1439;1440
973;150;106.101;-1.902;1441;1442
975;150;98.505;3.159;1443;1444
976;150;106.09;-2.102;1445;1446
977;150;104.022;1.114;1447;1448
978;150;104.022;1.114;1447;1450
979;150;104.084;1.099;1429;1451
980;150;103.964;1.095;894;1447
982;275;104.181;-2.843;1455;1456
983;150;104.647;-2.928;1457;1458
984;150;101.317;-0.877;1459;1460
987;150;99.654;2.963;1461;1462
988;150;104.576;-4.833;1463;1464
989;150;100.754;-0.613;1465;1466
990;150;105.35;-5.518;1467;1468
991;150;100.643;-0.253;1469;1470
992;150;99.035;1.481;1471;1472
994;150;99.46;3.343;1473;1474
995;150;100.277;-0.683;1475;1476
996;150;100.378;-0.344;1477;1478
997;150;100.115;-0.31;1479;1480
998;150;99.828;0.077;1481;1482
999;150;104.871;-2.924;1483;1484
1000;150;104.771;-3.004;1485;1486
1002;150;100.753;-0.612;1487;1488
1003;150;102.103;-1.432;1489;1490
1004;150;101.524;0.41;1491;1492
1005;150;98.594;3.59;1493;1494
1006;150;95.963;5.352;1495;1496
1007;150;105.351;-5.518;1497;1498
1008;150;105.35;-5.518;1467;1499
1009;150;100.573;-0.404;1487;1502
1010;150;100.399;-0.451;1503;1504
1011;150;97.943;4.511;1505;1506
1012;150;98.722;3.553;1507;1508
1013;150;99.106;2.964;1509;1510
1014;150;100.351;-0.62;1511;1512
1015;150;100.351;-0.621;1513;1513
1016;150;104.646;-2.928;1484;1515
1017;150;98.99;2.016;1510;1518
1018;150;104.245;-3.445;1519;1520
1019;150;98.729;1.752;1521;1522
1020;150;99.808;2.112;1462;1524
1021;150;122.797;0.85;1525;1526
1022;150;99.3;1.339;1472;1527
1023;150;100.632;-0.793;1466;1530
1024;150;104.16;-4.116;1531;1532
1025;150;98.835;1.691;1471;1533
1026;150;114.552;-3.277;1535;1536
1027;150;98.34;2.735;1537;1538
1028;150;100.378;-0.942;1476;1539
1029;150;104.655;-3.207;1520;1542
1030;150;100.277;-0.681;1543;1544
1031;150;100.349;-0.622;1503;1543
1032;150;98.836;1.692;1547;1548
1033;150;100.474;-0.947;1549;1550
1034;150;101.524;0.41;1491;1551
1035;150;104.181;-2.843;1455;1458
1036;150;98.836;1.692;1518;1548
1037;150;99.165;3.382;1557;1558
1038;150;99.106;2.964;1509;1559
1039;150;98.63;2.533;1561;1562
1040;150;101.463;0.547;1551;1563
1042;150;98.667;3.715;1565;1566
1043;150;104.573;-5.31;1567;1568
1044;150;103.543;-1.603;1490;1569
