ID_node;Longitude;Latitude;ID_line
2755;99.106;2.964;1378
2756;99.186;2.466;1378
2757;100.351;-0.62;1379
2758;100.352;-0.62;1379
2759;100.351;-0.621;1380
2761;104.646;-2.928;1381
2764;98.99;2.016;1382
2765;104.245;-3.445;1383
2766;104.655;-3.207;1383
2767;98.834;1.692;1384
2768;98.729;1.752;1384
2770;100.128;1.862;1385
2771;122.797;0.85;1386
2772;122.863;0.778;1386
2773;99.809;2.111;1387
2776;100.632;-0.793;1388
2777;104.169;-4.107;1389
2778;104.16;-4.116;1389
2779;98.835;1.691;1390
2781;114.552;-3.277;1391
2782;114.62;-3.23;1391
2783;98.34;2.735;1392
2784;98.629;2.533;1392
2785;100.378;-0.942;1393
2788;104.745;-3.034;1394
2789;100.349;-0.622;1395
2790;100.277;-0.681;1395
2793;98.867;1.739;1397
2794;98.836;1.692;1397
2795;100.632;-0.794;1398
2796;100.474;-0.947;1398
2797;101.525;0.565;1399
2803;99.165;3.382;1402
2804;99.452;3.347;1402
2805;99.165;3.383;1403
2807;98.63;2.533;1404
2808;98.713;2.687;1404
2809;101.463;0.547;1405
2811;102.516;-3.526;1406
2812;102.27;-3.788;1406
2813;98.67;3.771;1407
2814;98.667;3.715;1407
2815;104.573;-5.31;1408
2816;104.763;-5.314;1408
2817;103.752;-2.155;1409
2819;100.423;-1.071;1410
2820;100.417;-1.031;1410
2821;98.506;3.647;1411
2822;98.255;4.12;1411
2825;96.111;4.173;1413
2827;98.669;3.77;1414
2828;98.789;3.601;1414
2830;98.68;3.754;1415
2831;97.086;5.199;1416
2832;97.09;5.216;1416
2833;97.182;5.114;1417
2834;96.727;5.131;1417
2836;97.183;5.114;1418
2837;98.654;3.476;1419
2840;98.087;4.384;1420
2841;103.51;-3.768;1421
2842;103.226;-3.981;1421
2843;104.695;-2.976;1422
2844;104.689;-2.98;1422
2845;103.511;-3.767;1423
2846;102.856;-3.239;1423
2848;98.698;3.735;1424
2849;104.862;-4.85;1425
